,source,target,edge,sentence
27,Chalmers University,Sweden.,based_in,"Instead of closing the old coal plants and switching to renewables , Japan 's answer is to switch to burning hydrogen or ammonia. "" The investment made by electric power companies in coal-fired power plants would suddenly be useless without value in their balance sheet ,"" says Prof Tomas Kaberger , an expert on energy policy at Chalmers University in Sweden. "" And it would create financial difficulties for electric power companies and then for banks and pension funds ."
28,Hisashi Nakai,Toyota,employee_of,"Not true , says Hisashi Nakai , the head of Toyota 's public affairs division ."
29,Toyota,Hisashi Nakai,works_for,"Not true , says Hisashi Nakai , the head of Toyota 's public affairs division ."
30,Hikari Matsumoto,Japan,lived_in,"It is expected to run for at least 40 years. "" I am ashamed of Japan ,"" says Hikari Matsumoto , a 21-year-old activist who has joined us to look out from the hillside. "" I 'm so frustrated ,"" she says ."
31,Hikari Matsumoto,21-year-old,has_age,"It is expected to run for at least 40 years. "" I am ashamed of Japan ,"" says Hikari Matsumoto , a 21-year-old activist who has joined us to look out from the hillside. "" I 'm so frustrated ,"" she says ."
32,Shell,UK,based_in,Business leaders have warned that thousands of oil and gas jobs could be at risk in the UK after Shell pulled out of the Cambo oil field development .
33,Chamber of Commerce,Aberdeen,based_in,"Aberdeen 's Chamber of Commerce said a "" premature "" end to domestic production could see some areas suffer the fate of mining communities in the 1980s ."
34,Aberdeen,UK,based_in,"The chief executive of Aberdeen and Grampian Chamber of Commerce called for a "" reasoned debate "" about oil and gas extraction , which he said supported thousands of UK jobs ."
35,Grampian Chamber of Commerce,UK,based_in,"The chief executive of Aberdeen and Grampian Chamber of Commerce called for a "" reasoned debate "" about oil and gas extraction , which he said supported thousands of UK jobs ."
36,Ian Wood,Energy Transition Zone,employee_of,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
37,Energy Transition Zone,Ian Wood,works_for,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
38,Energy Transition Zone,Aberdeen,based_in,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
39,Patrick Harvie,Scottish,employee_of,"He said : "" We must not create an adverse investment environment at this crucial moment in our energy transition journey. "" The future prosperity of our region and the country 's ability to meet net zero , depends on it. "" Scottish Greens co-leader Patrick Harvie welcomed Shell 's announcement and said it made it less likely Cambo would go ahead in the "" near term ""."" It 's absurd to suggest that our transition to a zero carbon economy depends on drilling for ever more oil and gas ,"" he said ."
40,Nicola Sturgeon,Scotland,employee_of,"This is mission critical for our survival. "" It is humanity 's only survival strategy and we need to invest now in the transition that has to be fair , but it has to be fast. "" Scotland 's First Minister Nicola Sturgeon visited the Highlands on Friday for an announcement on plans for a major offshore wind turbine tower factory ."
41,Alister Jack,Scottish,employee_of,"Scottish Secretary Alister Jack has said the new field should "" 100 %"" get the go-ahead ."
42,Greg Hands,Energy,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
43,Greg Hands,UK,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
44,Greg Hands,UK,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
45,Greg Hands,UK.,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
46,The Climate Change Committee,CCC,alternate_name,"The Climate Change Committee ( CCC ) says that , at current rates , the UK will be contributing to a disastrous temperature rise of 2.7C by 2100 ."
47,CCC,The Climate Change Committee,alternate_name,"The Climate Change Committee ( CCC ) says that , at current rates , the UK will be contributing to a disastrous temperature rise of 2.7C by 2100 ."
48,Greenpeace,John Sauven.,works_for,"And , in his Budget just days before the COP , he omitted to mention climate change. "" The government is moving far too slowly ,"" said Greenpeace director John Sauven. "" For the committee ( CCC ) to suggest it 's OK for the UK to contribute to a temperature rise approaching 2C is outrageous ."
49,John Sauven.,Greenpeace,employee_of,"And , in his Budget just days before the COP , he omitted to mention climate change. "" The government is moving far too slowly ,"" said Greenpeace director John Sauven. "" For the committee ( CCC ) to suggest it 's OK for the UK to contribute to a temperature rise approaching 2C is outrageous ."
50,Ted Scambos,US,lived_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
51,Ted Scambos,the International Thwaites Glacier Collaboration,employee_of,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
52,Ted Scambos,ITGC,employee_of,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
53,the International Thwaites Glacier Collaboration,Ted Scambos,works_for,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
54,the International Thwaites Glacier Collaboration,US,based_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
55,the International Thwaites Glacier Collaboration,ITGC,alternate_name,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
56,ITGC,US,based_in,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
57,ITGC,the International Thwaites Glacier Collaboration,alternate_name,"Both published and unpublished studies point in that direction ,"" said glaciologist Prof Ted Scambos , US lead coordinator for the International Thwaites Glacier Collaboration ( ITGC )."" This will accelerate the pace ( of Thwaites ) and widen , effectively , the dangerous part of the glacier ,"" he told BBC News ."
58,Erin Pettit,Oregon State University,employee_of,"And even if the pinning persists , the ongoing development of fractures in the shelf ice will almost certainly break up the area anyway. "" I visualise it somewhat similar to that car window where you have a few cracks that are slowly propagating , and then suddenly you go over a bump in your car and the whole thing just starts to shatter in every direction ,"" explained Dr Erin Pettit from Oregon State University ."
59,Alex Phillips,UK,employee_of,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
60,Alex Phillips,National Oceanography Centre.,employee_of,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
61,National Oceanography Centre.,UK,based_in,"We might not get Boaty back ,"" conceded Dr Alex Phillips from the UK 's National Oceanography Centre. "" We 've put a lot of effort this past year into developing collision avoidance for the vehicle , to make sure it does n't crash into the seabed ."
62,the American Geophysical Union Fall Meeting,New Orleans,based_in,"We also have contingencies whereby if it does get into trouble , it can retrace its steps and retreat to safety. "" The latest science on Thwaites Glacier is being presented this week at the American Geophysical Union Fall Meeting in New Orleans ."
63,James Richardson,IRT Surveys,employee_of,"The coolest temperatures are black , purple and blue and the draughts are shown around the door in these colours , says James Richardson , of IRT Surveys - which uses thermal imaging to help home owners identify where heat is being lost ."
64,Joko Widodo,Indonesian,origin,"In a BBC interview in October , Indonesian President Joko Widodo defended his country 's deforestation record , and said it had "" rehabilitated a lot of hectares "" of forests ."
65,Filda Yusgiantoro,Indonesia,lived_in,"Filda Yusgiantoro , director of an Indonesia energy think tank , says given the growing demand for vehicles , "" biofuels. . from palm oil will still play a major role in supplying fuel needs for the transportation sector "" ."
66,Takao Saiki,70s,has_age,"Beside me is Takao Saiki , a usually mild-mannered gentleman in his 70s ."
67,Tomas Kaberger,Chalmers University,employee_of,"Instead of closing the old coal plants and switching to renewables , Japan 's answer is to switch to burning hydrogen or ammonia. "" The investment made by electric power companies in coal-fired power plants would suddenly be useless without value in their balance sheet ,"" says Prof Tomas Kaberger , an expert on energy policy at Chalmers University in Sweden. "" And it would create financial difficulties for electric power companies and then for banks and pension funds ."
68,Chalmers University,Sweden.,based_in,"Instead of closing the old coal plants and switching to renewables , Japan 's answer is to switch to burning hydrogen or ammonia. "" The investment made by electric power companies in coal-fired power plants would suddenly be useless without value in their balance sheet ,"" says Prof Tomas Kaberger , an expert on energy policy at Chalmers University in Sweden. "" And it would create financial difficulties for electric power companies and then for banks and pension funds ."
69,Hisashi Nakai,Toyota,employee_of,"Not true , says Hisashi Nakai , the head of Toyota 's public affairs division ."
70,Toyota,Hisashi Nakai,works_for,"Not true , says Hisashi Nakai , the head of Toyota 's public affairs division ."
71,Hikari Matsumoto,Japan,lived_in,"It is expected to run for at least 40 years. "" I am ashamed of Japan ,"" says Hikari Matsumoto , a 21-year-old activist who has joined us to look out from the hillside. "" I 'm so frustrated ,"" she says ."
72,Hikari Matsumoto,21-year-old,has_age,"It is expected to run for at least 40 years. "" I am ashamed of Japan ,"" says Hikari Matsumoto , a 21-year-old activist who has joined us to look out from the hillside. "" I 'm so frustrated ,"" she says ."
73,Shell,UK,based_in,Business leaders have warned that thousands of oil and gas jobs could be at risk in the UK after Shell pulled out of the Cambo oil field development .
74,Chamber of Commerce,Aberdeen,based_in,"Aberdeen 's Chamber of Commerce said a "" premature "" end to domestic production could see some areas suffer the fate of mining communities in the 1980s ."
75,Aberdeen,UK,based_in,"The chief executive of Aberdeen and Grampian Chamber of Commerce called for a "" reasoned debate "" about oil and gas extraction , which he said supported thousands of UK jobs ."
76,Grampian Chamber of Commerce,UK,based_in,"The chief executive of Aberdeen and Grampian Chamber of Commerce called for a "" reasoned debate "" about oil and gas extraction , which he said supported thousands of UK jobs ."
77,Ian Wood,Energy Transition Zone,employee_of,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
78,Energy Transition Zone,Ian Wood,works_for,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
79,Energy Transition Zone,Aberdeen,based_in,"Businessman Sir Ian Wood chairs Aberdeen 's Energy Transition Zone , a not-for-profit company set up to support the shift to renewable energy ."
80,Patrick Harvie,Scottish,employee_of,"He said : "" We must not create an adverse investment environment at this crucial moment in our energy transition journey. "" The future prosperity of our region and the country 's ability to meet net zero , depends on it. "" Scottish Greens co-leader Patrick Harvie welcomed Shell 's announcement and said it made it less likely Cambo would go ahead in the "" near term ""."" It 's absurd to suggest that our transition to a zero carbon economy depends on drilling for ever more oil and gas ,"" he said ."
81,Nicola Sturgeon,Scotland,employee_of,"This is mission critical for our survival. "" It is humanity 's only survival strategy and we need to invest now in the transition that has to be fair , but it has to be fast. "" Scotland 's First Minister Nicola Sturgeon visited the Highlands on Friday for an announcement on plans for a major offshore wind turbine tower factory ."
82,Alister Jack,Scottish,employee_of,"Scottish Secretary Alister Jack has said the new field should "" 100 %"" get the go-ahead ."
83,Greg Hands,Energy,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
84,Greg Hands,UK,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
85,Greg Hands,UK,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
86,Greg Hands,UK.,employee_of,"On Friday , Energy Minister Greg Hands said the UK government "" continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago. "" For some years to come we will be very dependent as a country on gas in particular , and we need to make sure that the gas continues to come from the UK continental shelf to the UK. "" He also said that the government had a "" very strong "" net zero commitment ."
87,The Climate Change Committee,CCC,alternate_name,"The Climate Change Committee ( CCC ) says that , at current rates , the UK will be contributing to a disastrous temperature rise of 2.7C by 2100 ."
88,CCC,The Climate Change Committee,alternate_name,"The Climate Change Committee ( CCC ) says that , at current rates , the UK will be contributing to a disastrous temperature rise of 2.7C by 2100 ."
89,Greenpeace,John Sauven.,works_for,"And , in his Budget just days before the COP , he omitted to mention climate change. "" The government is moving far too slowly ,"" said Greenpeace director John Sauven. "" For the committee ( CCC ) to suggest it 's OK for the UK to contribute to a temperature rise approaching 2C is outrageous ."
90,John Sauven.,Greenpeace,employee_of,"And , in his Budget just days before the COP , he omitted to mention climate change. "" The government is moving far too slowly ,"" said Greenpeace director John Sauven. "" For the committee ( CCC ) to suggest it 's OK for the UK to contribute to a temperature rise approaching 2C is outrageous ."
91,COP,"""Conference of the Parties""",alternate_name,"COP stands for "" Conference of the Parties "" , and the one in Glasgow was the 26th annual summit ."
92,"""Conference of the Parties""",COP,alternate_name,"COP stands for "" Conference of the Parties "" , and the one in Glasgow was the 26th annual summit ."
93,Mark Maslin,University College London,employee_of,"Governments must agree to "" cut emissions by half in the next 10 years "" , says Prof Mark Maslin , who researches the impact of humans on the environment at University College London ."
94,Martin Siegert,Imperial College London,employee_of,"And many of the scientists think 2050 might be too late , particularly if countries do n't cut emissions drastically before then. "" The longer you leave it , the more difficult it is to deliver net zero by 2050 ,"" says Prof Martin Siegert , who researches changes in glaciers at Imperial College London ."
95,Malte Meinhausen,the University of Melbourne,employee_of,"Last week at COP , there were announcements on cuts to coal and methane , but many scientists say they do n't go far enough. "" There needs to be a blanket stop on any foreign investment that builds and supports coal power plants or any other fossil technology "" says Prof Malte Meinhausen , of the University of Melbourne ."
96,Natalie Jones,the University of Cambridge,employee_of,"And Dr Natalie Jones , a specialist in existential risk at the University of Cambridge , says countries need to publish robust plans and policies on how they will achieve their targets ."
97,Danae Kyriakopoulou,the London School of Economics,employee_of,"By making business as usual more expensive , they argue , companies will be more likely to invest in cleaner technologies , which is essential to lowering emissions around the world. "" A carbon tax needs to happen ,"" says Danae Kyriakopoulou a senior policy fellow at the London School of Economics ."
98,Aditya Bahadur,the International Institute for Environment and Development.,employee_of,"Many people in developing countries , are suffering , says Dr Aditya Bahadur , a researcher at the International Institute for Environment and Development. "" They need resources to adapt to these changes ."
99,Ghana,Accra,based_in,"The Covid-19 pandemic was given as an example for how countries can find ways to work together. "" I am optimistic that a lot of good things will come out of COP26 ,"" says Dr Nana Ama Browne Klutse , a scientist at the university of Ghana , in Accra ."
100,the Communist Party,China,based_in,"Also , China 's media is of the Communist Party and for the Communist Party ."
101,the Communist Party,the Communist Party,alternate_name,"Also , China 's media is of the Communist Party and for the Communist Party ."
102,the Communist Party,China,based_in,"Also , China 's media is of the Communist Party and for the Communist Party ."
103,the Communist Party,the Communist Party,alternate_name,"Also , China 's media is of the Communist Party and for the Communist Party ."
104,Xi,Party,employee_of,"Coverage of anything involving Mr Xi , who is the General Secretary of the Party , is tightly controlled ."
105,Party,Xi,works_for,"Coverage of anything involving Mr Xi , who is the General Secretary of the Party , is tightly controlled ."
106,Joe Biden,US,employee_of,"Nationalist stirrers - like those featured in the Global Times - have criticised US President Joe Biden , particularly after he singled out his Chinese counterpart for not showing up ."
107,Laura Trevelyan,MSNBC,employee_of,"It 's all about domestic politics , writes Laura Trevelyan in New YorkPresident Biden was determined to use COP26 to showcase American leadership on climate on the world stage - but , as MSNBC opinion columnist Hayes Brown noted , first of all , he had to apologise ."
108,Hayes Brown,MSNBC,employee_of,"It 's all about domestic politics , writes Laura Trevelyan in New YorkPresident Biden was determined to use COP26 to showcase American leadership on climate on the world stage - but , as MSNBC opinion columnist Hayes Brown noted , first of all , he had to apologise ."
109,Joe Manchin,Democratic,employee_of,"At home it 's the position of Democratic Senator Joe Manchin , a crucial vote when it comes to getting a $ 500bn climate plan through Congress , that 's getting attention ."
110,Manchin,West Virginia,lived_in,"Mr Manchin is from a coal producing state , West Virginia , and when he said he had lingering concerns about the spending package , headlines declared : "" Biden 's climate pledge risks being undermined by holdout senator. "" There is no sense of a climate emergency in Russia , writes Steve Rosenberg in Moscow ."
111,Vasily Yablokov,Greenpeace Russia,employee_of,"Russia is a fossil fuel superpower and wants a "" smooth "" ( longer ) transition to greener energy. "" Everybody wants Russia to do more to achieve carbon neutrality as soon as possible ,"" Vasily Yablokov of Greenpeace Russia tells me. "" I 'm happy Russia now accepts climate change is happening , but I see no high ambition from our country ."
112,Scott Morrison's,Cop26,employee_of,Part of Scott Morrison 's job at Cop26 was to explain to the world how he was going to deliver on net zero by 2050 without phasing out coal .
113,ABC News,Australia,based_in,The verdict from Australia 's ABC News ?
114,Silvia Cervellini,Brazilians,origin,"It 's not that Brazilians do n't care. "" People do want to participate and they have lots to contribute ,"" says Silvia Cervellini , co-founder of Delibera , a Brazilian organisation helping people get involved in politics ."
115,Silvia Cervellini,Brazilian,origin,"It 's not that Brazilians do n't care. "" People do want to participate and they have lots to contribute ,"" says Silvia Cervellini , co-founder of Delibera , a Brazilian organisation helping people get involved in politics ."
116,Delibera,Silvia Cervellini,founded_by,"It 's not that Brazilians do n't care. "" People do want to participate and they have lots to contribute ,"" says Silvia Cervellini , co-founder of Delibera , a Brazilian organisation helping people get involved in politics ."
117,Siavash Ardalan,BBC Persian Service,employee_of,""" We outsource the responsibility to authorities and politicians and forget that it 's individual actions , it 's the lack of ecological awareness that we need to work on that is causing all of this. "" Many in Iran believe that it is unfair to expect the country to make any climate commitments while the sanctions remain , writes BBC Persian Service correspondent Siavash Ardalan ."
118,Muhammadu Buhari,Nigeria,employee_of,"On Wednesday , President Muhammadu Buhari said no-one in Nigeria needed "" persuading of the need for urgent action on the environment ,"" pointing to desertification , floods and erosion in the country as "" enough evidence "" ."
119,Sameer Hashmi,Middle East Business,has_title,"Even as Saudi Arabia seeks to achieve net zero by 2060 , the country is boosting its oil production , writes Middle East Business Correspondent Sameer Hashmi ."
120,National Space Research Institute,Brazil,based_in,"After falling steadily since 2004 , deforestation in Brazil 's Amazon has risen again , according to the country 's National Space Research Institute ( INPE ) ."
121,National Space Research Institute,INPE,alternate_name,"After falling steadily since 2004 , deforestation in Brazil 's Amazon has risen again , according to the country 's National Space Research Institute ( INPE ) ."
122,INPE,Brazil,based_in,"After falling steadily since 2004 , deforestation in Brazil 's Amazon has risen again , according to the country 's National Space Research Institute ( INPE ) ."
123,INPE,National Space Research Institute,alternate_name,"After falling steadily since 2004 , deforestation in Brazil 's Amazon has risen again , according to the country 's National Space Research Institute ( INPE ) ."
124,Jair Bolsonaro,Brazil,employee_of,"Brazil 's president , Jair Bolsonaro , has been criticised for "" anti-environment "" policies , such as encouraging agriculture and mining in the Amazon ."
125,"The Department for Business, Energy and Industrial Strategy",BEIS,alternate_name,"The Department for Business , Energy and Industrial Strategy ( BEIS ) says 2.52kg of carbon dioxide is emitted for every litre of aviation turbine fuel burned ."
126,BEIS,"The Department for Business, Energy and Industrial Strategy",alternate_name,"The Department for Business , Energy and Industrial Strategy ( BEIS ) says 2.52kg of carbon dioxide is emitted for every litre of aviation turbine fuel burned ."
127,Debbie Hopkins,University of Oxford,employee_of,"So an already polluting mode of transport ( commercial aviation ) becomes even worse ( with private jets ),"" said Dr Debbie Hopkins , an expert in decarbonising transport at University of Oxford ."
